id	marca	cod_fab	cod_int	cat	modelo	desc	preco	cor
1	DITA	7899903700017	DITA10126	ALTERNADOR		FUSCA/BRASILIA/KOMBI 12V 55A C/SUPORTE	301,8	#912e2e
2	DITA	7899903700024	DITA10127	ALTERNADOR		FUSCA/BRASILIA/KOMBI 12V 55A SEM SUPORTE	267,5	#912e2e
3	DITA	7899903700031	DITA10128	ALTERNADOR		MERCEDES-BENZ 12V 55A POLIA SIMPLES	329,23	#912e2e
4	DITA	7899903700048	DITA10129	ALTERNADOR		PAJERO 2.5 L200/L300/ 12V 90A POL.DUPLA C/BOMBA A VÁCUO	576,16	#912e2e
5	DITA	7899903700055	DITA10130	ALTERNADOR		GOL/SANTANA 1.8/2.0 AP 12V 90A FIXAÇÃO JUNTA	576,16	#912e2e
6	DITA	7899903700062	DITA10131	ALTERNADOR		MERCEDES-BENZ 12V 55A-POLIA DUPLA MOTOR OM 352/355/364	397,82	#912e2e
7	DITA	7899903700079	DITA10132	ALTERNADOR		SCANIA 24V 45A CAMINHÕES E MAQUINAS REF: 9120080144	548,72	#912e2e
8	DITA	7899903700086	DITA10133	ALTERNADOR		HILUX 2.5 E SW4 2006 12V 80A/PIT BULL 2.8 3.0 DIESEL-POLIA LIVRE	576,16	#912e2e
9	DITA	7899903700093	DITA10134	ALTERNADOR		GOL/SANTANA/PARATI/QUANTUM/SAVEIRO 1.8/2.0 AP 12V 90A- C/ AR	466,41	#912e2e
10	DITA	7899903700109	DITA10135	ALTERNADOR		HYUNDAI HR 2.5 TCI 2005 >  12V 75A 	576,16	#912e2e
11	DITA	7899903700116	DITA10136	ALTERNADOR		GOL/FOX/POLO/GOLF 1.0/1.6 C/ AR DH - 12V 90A	569,3	#912e2e
12	DITA	7899903700123	DITA10137	ALTERNADOR		FIESTA/KA/COURRIER/ESCORT/NOVO FIESTA 12V 90A - POLIA 6S	548,72	#912e2e
13	DITA	7899903700130	DITA10138	ALTERNADOR		ALT.GM CORSA/OMEGA/VECTRA/S10/ZAFIRA 12V 120A C/AR	521,28	#912e2e
14	DITA	7899903700147	DITA10139	ALTERNADOR		ALT.CORSA 94>OMEGA92>VECTRA 93>S10 97> 12V 100A C/AR.	480,13	#912e2e
15	DITA	7899903700154	DITA10140	ALTERNADOR		MERCEDES BENZ 24V 80A - AXOR ELETRÔNICO MOTOR BR 450	617,31	#912e2e
16	DITA	7899903700161	DITA10141	ALTERNADOR		VOLVO 24V 45A B10/B12/B58/N10/N12/NL300 A NL400	384,1	#912e2e
17	DITA	7899903700178	DITA10142	ALTERNADOR		FIAT 147 90>01 FIORINO/SPAZIO/PREMIO/ELBA/UNO 12V 55A	425,26	#912e2e
18	DITA	7899903700185	DITA10143	ALTERNADOR		PALIO/UNO/SIENA/STRADA/DOBLO 1.0/1.4 FIRE S/AR 12V 70A	441,72	#912e2e
19	DITA	7899903700192	DITA10144	ALTERNADOR		CLIO/KANGOO/MEGANE/SCENIC 2000>>1.6 12V 95A	548,72	#912e2e
20	DITA	7899903700208	DITA10145	ALTERNADOR		CLIO/KANGOO/MEGANE/SCENIC 2000>>1.6 12V 95A	521,28	#912e2e
21	DITA	7899903700215	DITA10146	ALTERNADOR		SPRINTER/RANGER/S10/DEFENDER 2.5/2.8 2002> 12V 85A C/ BOMBA	589,87	#912e2e
22	DITA	7899903700222	DITA10147	ALTERNADOR		GOL/SANTANA/PARATI 1.8/2.0 AP 12V 90A - C/AR E POLIA V	377,25	#912e2e
23	DITA	7899903700239	DITA10148	ALTERNADOR		RENAULT MEGANE/SCENIC 2.0 12V 90A 2002>>	480,13	#912e2e
24	DITA	7899903700246	DITA10149	ALTERNADOR		FORD CARGO 12V 65A C/MOTOR CUMMINS 6BTAA 5.9	452,69	#912e2e
25	DITA	7899903700253	DITA10150	ALTERNADOR		VOLVO 24V 80A SÉRIE B10/B12 FH 400 A 610 FM12 NH12	669,44	#912e2e
26	DITA	7899903700260	DITA10151	ALTERNADOR		SCANIA 06>> 24V 80A ELETRÔNICO REF: 0124555034	683,16	#912e2e
27	DITA	7899903700277	DITA10152	ALTERNADOR		TRATOR/COLHEITADEIRA JOHN DEERE 12V 200A	823,08	#912e2e
28	DITA	7899903700284	DITA10153	ALTERNADOR		SCANIA 06>> 24V 110A - ELETRÔNICO REF: 0124655026	713,34	#912e2e
29	DITA	7899903700291	DITA10154	ALTERNADOR		FUSCA/BRASILIA/KOMBI 12V 75A - SEM SUPORTE	370,39	#912e2e
30	DITA	7899903700307	DITA10155	ALTERNADOR		VW ONIBUS/CAMINHÃO05>> 24V 80A ELETRÔNICO 17170/250	690,02	#912e2e
31	DITA	7899903700314	DITA10156	ALTERNADOR		MERCEDES BENZ 24V 55A OM366A/OM1315/M366G	480,13	#912e2e
32	DITA	7899903700321	DITA10157	ALTERNADOR		AUDI A1/AR/TT/ E VW:GOLF/AMAROK/PASSAT 12V 140A - POLIA LIVRE	740,77	#912e2e
33	DITA	7899903700338	DITA10158	ALTERNADOR		CLIO 00/LOGAN 07/SANDERO 08/ 1.0 16V 12V 95A	480,13	#912e2e
34	DITA	7899903700345	DITA10159	ALTERNADOR		RENAULT MASTER 2.5 00>> 12V 125A	548,72	#912e2e
35	DITA	7899903700352	DITA10160	ALTERNADOR		L200 2.5/L300/PAJERO 2.3 82/86 12V 55A C/BOMBA VACUO	548,72	#912e2e
36	DITA	7899903700369	DITA10161	ALTERNADOR		MASSEY MF-8460/ M-B: OM366/MEDIUM & HEAVY-DUTY /TRUCKS LPS 1525 OM429 - 12V 90A	891,67	#912e2e
37	DITA	7899903700376	DITA10162	ALTERNADOR		CERATTO 1.6 04>ELANTRA/KIA SPORTAGE/TUCSON 2.0 12V 90A	459,55	#912e2e
38	DITA	7899903700383	DITA10163	ALTERNADOR		MERCEDES BENZ SPRINTER 313 CDI / 12V 150A - POLIA LIVRE	802,5	#912e2e
39	DITA	7899903700390	DITA10164	ALTERNADOR		SCANIA SÉRIE 114/124/144/164/ F94/L94/P94 97>> 24V 65A	500,71	#912e2e
40	DITA	7899903700406	DITA10165	ALTERNADOR		VOLVO SÉRIE FL6/611/614/617/ 90/94 24V 80A	500,71	#912e2e
41	DITA	7899903700413	DITA10166	ALTERNADOR		EMPILHADEIRA YALE / HYSTER / CLARK TODAS 12V 40A	480,13	#912e2e
